WE_41B884,youssef,STUDBME2,CMP_LAB3,El-modarag,STUDBME1,CMP_LAB4,CMP_LAB2,ARC3,Sbme-Staff,CMP_LAB1,El-lab,Mo_Hamza,Farouk,RehabLab,Gamil,TP-Link_463C,redmi,ARC1,target
-67,-100,-51,-100,-100,-61,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,11
-51,-100,-51,-100,-100,-100,-100,-100,-100,-100,-51,-63,-74,-57,-67,-100,-100,-100,-100,10
-70,-75,-73,-100,-100,-65,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-100,-100,-100,8
-73,-66,-77,-100,-75,-69,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-100,-100,8
-59,-100,-53,-100,-71,-56,-71,-67,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,7
-49,-100,-45,-56,-100,-100,-100,-100,-100,-100,-100,-64,-100,-100,-70,-100,-100,-100,-100,10
-44,-88,-47,-100,-100,-57,-100,-58,-100,-100,-100,-68,-100,-100,-100,-100,-100,-100,-100,9
-60,-100,-55,-100,-100,-100,-100,-100,-100,-100,-100,-59,-69,-100,-100,-100,-100,-100,-100,13
-57,-100,-68,-100,-79,-55,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,6
-69,-88,-68,-100,-100,-50,-100,-100,-66,-83,-100,-100,-100,-82,-100,-71,-100,-100,-100,5
-65,-100,-52,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-59,-56,-100,-100,-100,-100,10
-59,-100,-55,-31,-100,-61,-100,-37,-100,-100,-100,-100,-70,-50,-57,-100,-100,-100,-100,11
-59,-100,-54,-100,-100,-58,-59,-58,-100,-100,-58,-100,-100,-56,-73,-100,-100,-100,-100,11
-56,-100,-54,-100,-100,-65,-100,-100,-100,-100,-100,-100,-100,-59,-100,-100,-100,-100,-100,11
-68,-100,-56,-100,-100,-100,-100,-74,-100,-100,-74,-47,-70,-100,-100,-100,-100,-100,-100,12
-65,-100,-58,-100,-63,-32,-100,-100,-61,-100,-100,-100,-100,-100,-100,-65,-100,-100,-100,5
-54,-70,-67,-100,-71,-53,-100,-66,-71,-100,-67,-100,-100,-100,-100,-100,-100,-100,-100,7
-58,-82,-66,-100,-68,-48,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,7
-54,-100,-45,-58,-100,-65,-100,-56,-100,-100,-59,-67,-74,-70,-73,-100,-100,-100,-100,10
-45,-83,-48,-100,-63,-44,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,7
